Who wrote the novel 1984?,
Aldous Huxley,FALSE
George Orwell,TRUE
H.G. Wells,FALSE
Ray Bradbury,FALSE
Which Shakespeare play features the character Ophelia?,
Macbeth,FALSE
Othello,FALSE
Hamlet,TRUE
King Lear,FALSE
Who wrote Pride and Prejudice?,
Charlotte Bronte,FALSE
Emily Bronte,FALSE
Jane Austen,TRUE
Mary Shelley,FALSE
In which novel would you find the character Atticus Finch?,
The Great Gatsby,FALSE
To Kill a Mockingbird,TRUE
Of Mice and Men,FALSE
East of Eden,FALSE
Who wrote The Divine Comedy?,
Petrarch,FALSE
Dante Alighieri,TRUE
Boccaccio,FALSE
Virgil,FALSE
What is the first book of the Bible?,
Exodus,FALSE
Genesis,TRUE
Leviticus,FALSE
Numbers,FALSE
Who wrote Crime and Punishment?,
Leo Tolstoy,FALSE
Ivan Turgenev,FALSE
Fyodor Dostoevsky,TRUE
Anton Chekhov,FALSE
In which novel does the character Jay Gatsby appear?,
Tender is the Night,FALSE
The Sun Also Rises,FALSE
The Great Gatsby,TRUE
This Side of Paradise,FALSE
What is the name of the fictional school in Harry Potter?,
Durmstrang,FALSE
Beauxbatons,FALSE
Hogwarts,TRUE
Ilvermorny,FALSE
Who wrote The Old Man and the Sea?,
John Steinbeck,FALSE
Ernest Hemingway,TRUE
F. Scott Fitzgerald,FALSE
William Faulkner,FALSE
Which novel begins with the line Call me Ishmael?,
The Scarlet Letter,FALSE
Moby Dick,TRUE
Billy Budd,FALSE
Typee,FALSE
Who created the detective Sherlock Holmes?,
Agatha Christie,FALSE
Edgar Allan Poe,FALSE
Arthur Conan Doyle,TRUE
Wilkie Collins,FALSE
What dystopian novel features the concept of Big Brother?,
Brave New World,FALSE
Fahrenheit 451,FALSE
1984,TRUE
We,FALSE
Who wrote One Hundred Years of Solitude?,
Pablo Neruda,FALSE
Jorge Luis Borges,FALSE
Gabriel Garcia Marquez,TRUE
Mario Vargas Llosa,FALSE
Who wrote Don Quixote?,
Lope de Vega,FALSE
Miguel de Cervantes,TRUE
Francisco de Quevedo,FALSE
Calderon de la Barca,FALSE
