How long does it take Earth to orbit the Sun?,
265 days,FALSE
365 days,TRUE
465 days,FALSE
300 days,FALSE
What is the name of the galaxy we live in?,
Andromeda,FALSE
Triangulum,FALSE
Milky Way,TRUE
Sombrero,FALSE
What is a light year a measure of?,
Time,FALSE
Speed,FALSE
Distance,TRUE
Mass,FALSE
Which planet has a Great Red Spot?,
Saturn,FALSE
Neptune,FALSE
Jupiter,TRUE
Uranus,FALSE
What is the name of the first artificial satellite launched into space?,
Vostok,FALSE
Sputnik,TRUE
Explorer,FALSE
Luna,FALSE
How many moons does Mars have?,
0,FALSE
1,FALSE
2,TRUE
3,FALSE
What type of star is our Sun?,
Red Giant,FALSE
White Dwarf,FALSE
Yellow Dwarf,TRUE
Neutron Star,FALSE
What is the hottest planet in our solar system?,
Mercury,FALSE
Venus,TRUE
Mars,FALSE
Jupiter,FALSE
Who was the first human to travel to space?,
Neil Armstrong,FALSE
Buzz Aldrin,FALSE
Yuri Gagarin,TRUE
Alan Shepard,FALSE
What is a supernova?,
A new star being born,FALSE
A star exploding,TRUE
Two stars colliding,FALSE
A black hole forming,FALSE
How long does it take light to travel from the Sun to Earth?,
30 seconds,FALSE
8 minutes,TRUE
1 hour,FALSE
24 hours,FALSE
What is the name of the telescope launched in 1990?,
Spitzer,FALSE
Chandra,FALSE
Hubble,TRUE
Kepler,FALSE
Which planet rotates on its side?,
Neptune,FALSE
Saturn,FALSE
Uranus,TRUE
Pluto,FALSE
What is the term for the point of no return around a black hole?,
Singularity,FALSE
Event Horizon,TRUE
Photon Sphere,FALSE
Accretion Disk,FALSE
How many Earth days is a year on Mars?,
365,FALSE
487,FALSE
687,TRUE
789,FALSE
