What is the largest organ in the human body?,
Liver,FALSE
Brain,FALSE
Skin,TRUE
Lungs,FALSE
How many chambers does the human heart have?,
2,FALSE
3,FALSE
4,TRUE
5,FALSE
What is the longest bone in the human body?,
Spine,FALSE
Humerus,FALSE
Femur,TRUE
Tibia,FALSE
Which organ produces insulin?,
Liver,FALSE
Kidney,FALSE
Pancreas,TRUE
Gallbladder,FALSE
How many teeth does an adult human typically have?,
28,FALSE
30,FALSE
32,TRUE
34,FALSE
What is the medical term for the kneecap?,
Fibula,FALSE
Tibia,FALSE
Patella,TRUE
Tarsus,FALSE
Which blood type is known as the universal donor?,
AB positive,FALSE
A negative,FALSE
O negative,TRUE
B positive,FALSE
What is the smallest bone in the human body?,
Stirrup,TRUE
Hammer,FALSE
Anvil,FALSE
Cochlea,FALSE
How many lobes does the human brain have?,
3,FALSE
4,TRUE
5,FALSE
6,FALSE
What percentage of the human body is water?,
45%,FALSE
55%,FALSE
60%,TRUE
70%,FALSE
Which organ filters blood and removes waste?,
Liver,FALSE
Kidney,TRUE
Spleen,FALSE
Pancreas,FALSE
What is the name of the tube connecting the throat to the stomach?,
Trachea,FALSE
Bronchus,FALSE
Esophagus,TRUE
Duodenum,FALSE
How many pairs of ribs does the human body have?,
10,FALSE
11,FALSE
12,TRUE
13,FALSE
What is the hardest substance in the human body?,
Bone,FALSE
Cartilage,FALSE
Tooth enamel,TRUE
Fingernail,FALSE
Which part of the brain controls balance and coordination?,
Cerebrum,FALSE
Medulla,FALSE
Cerebellum,TRUE
Thalamus,FALSE
