What is the main ingredient in guacamole?,
Tomato,FALSE
Avocado,TRUE
Lime,FALSE
Onion,FALSE
Which country is sushi originally from?,
China,FALSE
Korea,FALSE
Japan,TRUE
Thailand,FALSE
What type of pasta is shaped like small rice grains?,
Orzo,TRUE
Fusilli,FALSE
Penne,FALSE
Farfalle,FALSE
What is the Scoville scale used to measure?,
Sweetness,FALSE
Acidity,FALSE
Spiciness,TRUE
Bitterness,FALSE
Which spice is derived from the Crocus flower?,
Turmeric,FALSE
Saffron,TRUE
Cardamom,FALSE
Paprika,FALSE
What is the process of cooking food slowly in its own fat called?,
Braising,FALSE
Confit,TRUE
Poaching,FALSE
Sauteing,FALSE
What nut is used to make marzipan?,
Walnut,FALSE
Hazelnut,FALSE
Almond,TRUE
Pistachio,FALSE
What is the most expensive spice in the world by weight?,
Vanilla,FALSE
Saffron,TRUE
Cardamom,FALSE
Truffle,FALSE
Which country is the origin of the croissant?,
France,FALSE
Austria,TRUE
Belgium,FALSE
Switzerland,FALSE
What gas makes bread rise?,
Oxygen,FALSE
Carbon Dioxide,TRUE
Nitrogen,FALSE
Hydrogen,FALSE
What is the Japanese word for raw fish served over rice?,
Sashimi,FALSE
Maki,FALSE
Nigiri,TRUE
Temaki,FALSE
Which cheese is traditionally used in a Greek salad?,
Mozzarella,FALSE
Feta,TRUE
Halloumi,FALSE
Ricotta,FALSE
What is the base spirit in a Mojito?,
Vodka,FALSE
Gin,FALSE
Rum,TRUE
Tequila,FALSE
What cooking technique involves submerging food in hot oil?,
Grilling,FALSE
Steaming,FALSE
Deep frying,TRUE
Poaching,FALSE
Which fruit is used to make wine?,
Apple,FALSE
Grape,TRUE
Pear,FALSE
Plum,FALSE
